word,freq,대분류,중분류,소분류
식품,60,급식·식품,가공/식자재,식자재
예방,60,기타,기타,기타
동영상,60,기타,기타,기타
부스,60,기타,기타,기타
리기,60,기타,기타,기타
치다,60,기타,기타,기타
방산,60,기타,기타,기타
폭발물,60,기타,기타,기타
강원도,59,기타,기타,기타
항법,59,기타,기타,기타
가지,59,기타,기타,기타
체크,59,기타,기타,기타
전반,59,기타,기타,기타
청력,59,기타,기타,기타
테이블,59,기타,기타,기타
전세버스,59,차량·기동,차량/정비,차량부품/소모품
의뢰,59,기타,기타,기타
기록,59,기타,기타,기타
기상,59,기타,기타,기타
보존,59,기타,기타,기타
현장,58,기타,기타,기타
지능,58,기타,기타,기타
지지,58,기타,기타,기타
원형,58,기타,기타,기타
경남,58,기타,기타,기타
소개,58,기타,기타,기타
조명,58,전력·전기전자,조명/전선,LED/전선
제도,58,기타,기타,기타
새우,58,기타,기타,기타
시동,58,기타,기타,기타
관련,58,기타,기타,기타
전군,58,기타,기타,기타
프로펠러,58,기타,기타,기타
수사,58,기타,기타,기타
온수,58,기타,기타,기타
방한,57,피복·생활·사무,피복/보급,군장/피복
용접,57,공구·설비,용접/가공,용접/절단
계룡,57,기타,기타,기타
카트리지,57,기타,기타,기타
관용,57,기타,기타,기타
한빛부대,57,기타,기타,기타
관찰,57,기타,기타,기타
작다,57,기타,기타,기타
전화기,57,기타,기타,기타
무인항공기,57,기타,기타,기타
코로나,57,기타,기타,기타
추진기,57,기타,기타,기타
건물,57,기타,기타,기타
접촉,57,기타,기타,기타
유리,57,기타,기타,기타
밴드,56,기타,기타,기타
판등,56,기타,기타,기타
전달,56,기타,기타,기타
방탄헬멧,56,기타,기타,기타
행정,56,기타,기타,기타
원심분리기,56,기타,기타,기타
터빈,56,기타,기타,기타
동계,56,기타,기타,기타
권총,56,기타,기타,기타
가죽,56,기타,기타,기타
골재,56,기타,기타,기타
가열,56,기타,기타,기타
변압기,56,기타,기타,기타
와이어,56,기타,기타,기타
코팅,56,화학·소재,도료/접착/고분자,도료/접착
소독,55,의료·의약·위생,방역/위생,방역/소독
비료,55,기타,기타,기타
추가,55,기타,기타,기타
기일,55,기타,기타,기타
커피,55,급식·식품,가공/식자재,식자재
호정,55,기타,기타,기타
도하,55,기타,기타,기타
국방부,55,기타,기타,기타
여과기,55,기타,기타,기타
솔레노이드,55,전력·전기전자,전자부품,센서/모듈
개스킷등,54,기타,기타,기타
식용,54,기타,기타,기타
조미,54,기타,기타,기타
정화,54,기타,기타,기타
핫바,54,기타,기타,기타
온도,54,기타,기타,기타
음성,54,기타,기타,기타
강화,54,기타,기타,기타
남부,54,기타,기타,기타
마카롱,54,기타,기타,기타
포함,54,기타,기타,기타
고정식,54,기타,기타,기타
군악,54,기타,기타,기타
전화,54,기타,기타,기타
포기,54,기타,기타,기타
배출,54,기타,기타,기타
판넬,54,기타,기타,기타
특정,54,기타,기타,기타
헌병,53,기타,기타,기타
마시다,53,기타,기타,기타
무정,53,기타,기타,기타
근속,53,기타,기타,기타
실리콘,53,건설·시설,자재/철물,자재/철물
종이,53,기타,기타,기타
공병,53,기타,기타,기타
군용,53,기타,기타,기타
골프,53,기타,기타,기타
파운드,53,기타,기타,기타
곡사포,53,기타,기타,기타
패티,53,기타,기타,기타
위협,53,기타,기타,기타
스캐너,53,IT·통신,PC/주변기기,PC/노트북
소프트웨어,53,IT·통신,소프트웨어,OS/보안SW
