,입찰공고명,공고기관명
975,좌석 차량용 등 4항목 제조(궤도),육군군수사령부
976,히터(도관류),방위사업청
977,2016년 소도구 취사기구 구매,제5861부대
978,바  금속제 등 22품목,해군제1정비대대
979,레이저 프린터 토너(재생) 등 7종 구매,해군사관학교
980,화장지 등 2품목 구매,국군재정관리단
981,16년 천마 기화기 조립체 정비,방위사업청
982,하우징 조립체(500MD 7.62MM),방위사업청
983,하우징 조립체(500MD 7.62MM),방위사업청
984,구축함 음탐기(DSQS-21BZ) 소나 돔 교체 정비,해군군수사령부
985,마요네즈,방위사업청
989,천일염,방위사업청
993,항-16-010 이소티논연질캡슐 등 38품목,공군사관학교
994,화공가스(9종) 구매설치,국군재정관리단
995,00지역 연미복 제조납품,국방부근무지원단
996,소형표적기 완제품 및 조종기 제조,국군재정관리단
997,암  와이퍼용 등 46항목 제조(기장),육군군수사령부
998,릴리스 실린더 조립체 등 22항목 구매(기장),육군군수사령부
999,산악장비셋및부품,방위사업청
1000,산악장비셋및부품,방위사업청
1001,산악장비셋및부품,방위사업청
1002,산악용로프류,방위사업청
1003,산악용로프류,방위사업청
1005,K9튜브및이음쇠등27종구매,제2879부대
1006,K9튜브및이음쇠등27종구매,제2879부대
1010,궤도차량승무원용 배낭 등 4종 제조,국군재정관리단
1012,나사 캡식 6각 머리형 등 13종,해군군수사령부
1013,반투막 등 2종,해군군수사령부
1015,컴퓨터세트 디지털형 구매,공군군수사령부
1016,호스등5종구매,제2879부대
1017,비철류 늄합금봉등38종구매,제2879부대
1018,항공정비파카 등 24종 제조,국군재정관리단
1021,클로벡스액 등 139종,제9181부대
1022,부품키트 유압 다기관용 등 4항목 제조(궤도),육군군수사령부
1023,지휘관휘장 등 35종 제조,국군재정관리단
1024,00지역 마크류 구매,수도방위사령부
1025,00지역 신발류 구매,수도방위사령부
1029,배선 결합체(U4B1) 등 56항목 제조(궤도),육군군수사령부
1030,디스크 클러치용 등 5항목 제조(궤도),육군군수사령부
1031,나사 기계용 등 185항목 제조(궤도),육군군수사령부
1032,나사 기계용 등 185항목 제조(궤도),육군군수사령부
1033,나사 기계용 등 185항목 제조(궤도),육군군수사령부
1034,호스 성형식 등 82항목 제조(궤도),육군군수사령부
1035,필터 유체용 등 25항목 제조(궤도),육군군수사령부
1036,시일 밀봉형 등 37항목 제조(총포),육군군수사령부
1038,마이크로 커터 등 19종 구매,공군군수사령부
1039,부트  항공기구성품용(F-4수리부속),방위사업청
1040,16년 105밀리 포탄목상자,방위사업청
1041,소부대무전기(PRC-96K)부품류(구매),방위사업청
1042,교육장비용 배터리(6종) 구매,국군재정관리단
1043,레이저적외선 관측세트 수리부속(구매),방위사업청
1044,필터 엘리먼트 유체용 등 38항목 구매(기장),육군군수사령부
1045,허브 몸체 조립체 4륜구동용 등 2항목 제조(기장),육군군수사령부
1046,무릎  팔꿈치 보호대 등 58품목 구매,제3283부대
1047,결제판 등 153종 구매,해군사관학교
1048,2016년 군의관 가운(보충보급) 구매,국군의무사령부
1050,기독교 성찬주 구매,육군본부
1051,오링 및 패킹류,방위사업청
1052,휴대용무전기 건전지 등 9종 구매,육군본부
1053,핀조립체 등 26종,공군군수사령부
1054,P-3 항공기 TIMER DEICE 정비,해군군수사령부
